"ID","Station Name","River Basin","County","Longitude","Latitude","ElevationFeet","Operator","Map"
"HBS","HUMBUG SUMMIT","FEATHER RIVER","PLUMAS","-121.376790","40.118080","6,605",".None Specified",""
"HCL","HUCKLEBERRY LAKE","TUOLUMNE RIVER","TUOLUMNE","-119.745000","38.102000","7,800","Summit Ranger District",""
"HCM","HORSE CORRAL MEADOW","KINGS RIVER","FRESNO","-118.750000","36.752000","7,600","Kings River Water Association",""
"HGM","HAGANS MEADOW","LAKE TAHOE","EL DORADO","-119.940000","38.853000","8,000","Natural Resources Conservation Service",""
"HHM","HIGHLAND MEADOW","MOKELUMNE RIVER","ALPINE","-119.805626","38.490662","8,700","CA Dept of Water Resources/DFM-Hydro-SMN",""
"HIG","HIGHLAND LAKES","TRINITY RIVER","TRINITY","-122.491562","41.091782","6,030","US Bureau of Reclamation",""
"HKM","HOCKETT MEADOWS","KAWEAH RIVER","TULARE","-118.655000","36.382000","8,500","Sequoia and Kings Canyon National Parks",""
"HLF","HALLS FLAT","PIT RIVER","LASSEN","-121.267000","40.750000","5,600",".None Specified",""
"HLK","HELLS KITCHEN","STANISLAUS RIVER","CALAVERAS","-120.100000","38.417000","6,550","Calaveras Ranger District",""
"HLM","HELMS MEADOW","KINGS RIVER","FRESNO","-119.005000","37.122000","8,250","Pacific Gas and Electric Company, Auberry",""
"HLV","HOLCOMB VALLEY","SANTA ANA RIVER","none specified","-116.920000","34.305000","7,240",".None Specified",""
"HMS","HAMS STATION","MOKELUMNE RIVER","AMADOR","-120.377000","38.543000","5,500","Amador Ranger District",""
"HNT","HUNTINGTON LAKE (USBR)","SAN JOAQUIN RIVER","FRESNO","-119.220482","37.227570","7,000","US Bureau of Reclamation",""
"HOR","HORSE MEADOW (NRCS)","CARSON RIVER","ALPINE","-119.887300","38.836500","8,557","Natural Resources Conservation Service",""
"HRF","HARKNESS FLAT","FEATHER RIVER","LASSEN","-121.272950","40.406660","5,946","Pacific Gas and Electric Company, Rogers Flat",""
"HRG","HERRING CREEK","STANISLAUS RIVER","TUOLUMNE","-119.942000","38.242000","7,300","Pacific Gas and Electric Company, Angels Camp",""
"HRK","HARKNESS FLAT","FEATHER RIVER","LASSEN","-121.275000","40.418000","6,200","CA Dept of Water Resources/Operations and Maintenance",""
"HRS","HORSE MEADOW","TUOLUMNE RIVER","TUOLUMNE","-119.662000","38.158000","8,400","CA Dept of Water Resources/DFM-Hydro-SMN",""
"HRT","HEART LAKE","SAN JOAQUIN RIVER","FRESNO","-118.877000","37.272000","10,100","Southern California Edison Company, Big Creek",""
"HS2","HUMBUG SUMMIT 2","FEATHER RIVER","PLUMAS","-121.307260","40.184960","4,956","Pacific Gas and Electric Company, Rogers Flat",""
"HSF","HASKINS FLAT","FEATHER RIVER","PLUMAS","-121.205000","39.867000","5,200",".None Specified",""
"HTT","HUNTINGTON LAKE","SAN JOAQUIN RIVER","FRESNO","-119.222000","37.228000","7,000","Southern California Edison Company, Big Creek",""
"HUL","HULL MTN","EEL RIVER","MENDOCINO","-122.949850","39.534840","6,507","CA Dept of Water Resources/Flood Management",""
"HVN","HEAVENLY VALLEY","LAKE TAHOE","EL DORADO","-119.917000","38.929000","8,800","Natural Resources Conservation Service",""
"HYC","HAYS CANYON","SURPRISE VALLEY","MODOC","-119.892000","41.275000","6,400","Natural Resources Conservation Service",""
"HYS","HUYSINK","AMERICAN RIVER","PLACER","-120.529633","39.281422","6,600","US Bureau of Reclamation",""
"HYV","HAYPRESS VALLEY","YUBA RIVER","SIERRA","-120.520000","39.543000","6,800",".None Specified",""
"HZS","HAZELVIEW SUMMIT","KLAMATH RIVER","SISKIYOU","-123.748000","41.972000","2,500",".None Specified",""
"IDC","INDEPENDENCE CAMP","TRUCKEE RIVER","SIERRA","-120.298548","39.452588","7,000","Natural Resources Conservation Service",""
"IDN","INDEPENDENCE LAKE (SNOW COURSE)","TRUCKEE RIVER","NEVADA","-120.317000","39.425000","8,450",".None Specified",""
"IDP","INDEPENDENCE LAKE (SCS)","TRUCKEE RIVER","NEVADA","-120.322000","39.435000","8,450","Natural Resources Conservation Service",""
"IH4","ICE HOUSE 4","SANTA ANA RIVER","LOS ANGELES","-117.617000","34.252000","5,800",".None Specified",""
"IHS","ICE HOUSE","AMERICAN RIVER","EL DORADO","-120.375000","38.812000","5,300","Pacific Ranger District",""
"INN","INDEPENDENCE CREEK","TRUCKEE RIVER","SIERRA","-120.293000","39.494000","6,500","Natural Resources Conservation Service",""
"IRN","IRONWOOD","SANTA ANA RIVER","SAN BERNARDINO","-117.012000","34.303000","6,650",".None Specified",""
"IS2","ISLIP 2","MOJAVE DESERT","LOS ANGELES","-117.840000","34.355000","7,400",".None Specified",""
"IS3","ISLIP 3","MOJAVE DESERT","LOS ANGELES","-117.843000","34.353000","7,600",".None Specified",""
"IS4","ISLIP 4","MOJAVE DESERT","LOS ANGELES","-117.833000","34.347000","7,550",".None Specified",""
"JCM","JACKASS MEADOW","SAN JOAQUIN RIVER","MADERA","-119.330000","37.497000","6,950","Bass Lake Ranger District",""
"JHN","JOHNSON LAKE","MERCED RIVER","MADERA","-119.517000","37.568000","8,500",".None Specified",""
"JKM","JACKSON MEADOWS (SNOW COURSE)","YUBA RIVER","NEVADA","-120.553000","39.500000","5,950",".None Specified",""
"JMS","JUNE MOUNTAIN SUMMIT","MONO LAKE","MONO","-119.072720","37.740000","10,153","Southern California Edison Company, Bishop",""
"JMW","JUNE MOUNTAIN WEATHER PLOT","MONO LAKE","MONO","-119.077810","37.754411","9,220","Southern California Edison Company, Bishop",""
"JNM","JUNCTION MEADOW","KINGS RIVER","FRESNO","-118.438000","36.755000","8,250",".None Specified",""
"KIB","LOWER KIBBIE RIDGE","TUOLUMNE RIVER","TUOLUMNE","-119.879245","38.033024","6,700","CA Dept of Water Resources/DFM-Hydro-SMN",""
"KNM","KENNEDY MEADOWS","KINGS RIVER","FRESNO","-118.833000","36.768000","7,600",".None Specified",""
"KRC","KERRICK CORRAL","TUOLUMNE RIVER","TUOLUMNE","-119.960000","38.177000","7,000","Summit Ranger District",""
"KSP","KAISER POINT","SAN JOAQUIN RIVER","FRESNO","-119.103371","37.298180","9,200","US Bureau of Reclamation",""
"KSR","KAISER PASS","SAN JOAQUIN RIVER","FRESNO","-119.102000","37.295000","9,100","Southern California Edison Company, Big Creek",""
"KTL","KETTLE ROCK","FEATHER RIVER","PLUMAS","-120.715000","40.140000","7,300","CA Dept of Water Resources/Operations and Maintenance",""
"KUB","UPPER BULL","KINGS RIVER","FRESNO","-119.056600","36.966900","8,073","Kings River Water Association",""
"KUP","UPPER PROVIDENCE","KINGS RIVER","FRESNO","-119.183000","37.061000","5,611","Kings River Water Association",""
"LB2","LUMBERYARD 2","MOKELUMNE RIVER","AMADOR","-120.305000","38.545000","6,500","Amador Ranger District",""
"LBD","LOBDELL LAKE","WALKER RIVER","MONO","-119.377000","38.440000","9,200","Natural Resources Conservation Service",""
"LBH","LOWER BATH HOUSE (SFSU FIELD CAMPUS)","YUBA RIVER","SIERRA","-120.577654","39.624073","5,528","Center for Western Weather and Water Extremes",""
"LCP","LOWER CARSON PASS","AMERICAN RIVER","ALPINE","-119.998000","38.693000","8,400","El Dorado Irrigation District",""
"LCR","LOST CORNER MOUNTAIN","AMERICAN RIVER","EL DORADO","-120.215000","39.017000","7,500","Sacramento Municipal Utility District",""
"LDV","LAKE DAVIS (SNOW COURSE)","FEATHER RIVER","PLUMAS","-120.505000","39.933000","5,800",".None Specified",""
"LKB","LOWER KIBBIE","TUOLUMNE RIVER","TUOLUMNE","-119.878000","38.033000","6,700","Summit Ranger District",""
"LLL","LAKE LUCILLE","LAKE TAHOE","EL DORADO","-120.112000","38.860000","8,200","Truckee River Basin Water Committee, Reno",""
"LLM","LITTLE LAGUNA MEADOW","SAN JACINTO RIVER","SAN DIEGO","-116.490000","32.928000","5,500",".None Specified",""
"LLP","LOWER LASSEN PEAK","FEATHER RIVER","SHASTA","-121.508110","40.466602","8,338","CA Dept of Water Resources/DFM-Hydro-SMN",""
"LLY","LLOYD MEADOW","KERN RIVER","TULARE","-118.477000","36.147000","5,600",".None Specified",""
"LMD","LONG MEADOW (KINGS R)","KINGS RIVER","FRESNO","-118.920000","37.130000","8,500","Pacific Gas and Electric Company, Auberry",""
"LMT","LOWER MET","MOKELUMNE RIVER","CALAVERAS","-120.149900","38.433200","7,063","UC Merced",""
"LMW","LONG MEADOW (AMERICAN R)","AMERICAN RIVER","EL DORADO","-120.372000","38.972000","5,600",".None Specified",""
"LOG","LOG LAKE","SCOTT RIVER","SISKIYOU","-123.100000","41.547000","5,300",".None Specified",""
"LOL","LOON LAKE (SNOW COURSE)","AMERICAN RIVER","EL DORADO","-120.320000","38.983000","6,400",".None Specified",""
"LOS","LAKE LOIS","AMERICAN RIVER","EL DORADO","-120.204445","38.921036","8,600","CA Dept of Water Resources/DFM-Hydro-SMN",""
"LPT","LA PORTE (SNOW COURSE)","YUBA RIVER","PLUMAS","-120.987000","39.678000","5,000",".None Specified",""
"LS2","LAKE SPAULDING 2","YUBA RIVER","NEVADA","-120.637000","39.320000","5,200",".None Specified",""
"LSH","LITTLE SHASTA","SHASTA RIVER","SISKIYOU","-122.195000","41.808000","6,200","Goosenest Ranger District",""
"LTM","LOWER THUNDER MOUNTAIN","SANTA ANA RIVER","LOS ANGELES","-117.612000","34.272000","7,500",".None Specified",""
"LTT","LETTERBOX","FEATHER RIVER","PLUMAS","-121.261310","39.856860","5,960","Pacific Gas and Electric Company, Rogers Flat",""
"LUM","LUMBERYARD","MOKELUMNE RIVER","AMADOR","-120.305000","38.545000","6,500",".None Specified",""
"LVM","LEAVITT MEADOWS","WALKER RIVER","MONO","-119.552000","38.305000","7,200","Natural Resources Conservation Service",""
"LVN","LONG VALLEY NORTH","OWENS RIVER","MONO","-118.812000","37.637000","7,200",".None Specified",""
"LVS","LONG VALLEY SOUTH","OWENS RIVER","MONO","-118.668000","37.573000","7,300",".None Specified",""
"LVT","LEAVITT LAKE","WALKER RIVER","MONO","-119.621000","38.282000","9,600","Natural Resources Conservation Service",""
"LWM","LITTLE WHITNEY MEADOW","KERN RIVER","TULARE","-118.348999","36.374883","8,500","CA Dept of Water Resources",""
"LXN","LEXINGTON","YUBA RIVER","none specified","-121.005000","39.680000","5,600","South Feather Water and Power Agency",""
"LYN","LYONS CREEK","AMERICAN RIVER","EL DORADO","-120.243000","38.812000","6,700","CA Dept of Water Resources",""
"MAM","MAMMOTH PASS (LADWP)","OWENS RIVER","MONO","-119.033000","37.610000","9,300","City of Los Angeles; Dept of Water and Power",""
"MB3","MIDDLE BOULDER 3","SCOTT RIVER","SISKIYOU","-122.806160","41.224838","6,200","US Bureau of Reclamation",""
"MBL","MIDDLE BOULDER 1","SCOTT RIVER","SISKIYOU","-122.807000","41.217000","6,600","Salmon/Scott River Ranger District",""
"MBV","MARBLE VALLEY","SCOTT RIVER","SISKIYOU","-123.198000","41.567000","5,900",".None Specified",""
"MCB","MIRANDA CABIN","AMERICAN RIVER","PLACER","-120.362000","39.120000","6,200","Placer County Water Agency",""
"MCP","MCELROY PASS","PIT RIVER","SHASTA","-121.480000","40.695000","5,300","Hat Creek Ranger District",""
"MD1","MUD SPRINGS (SNOW COURSE)","MOKELUMNE RIVER","AMADOR","-120.208000","38.543000","5,800",".None Specified",""
"MD2","MOUNT DYER 2","FEATHER RIVER","LASSEN","-121.046300","40.257460","6,481","Pacific Gas and Electric Company, Rogers Flat",""
"MDC","MEDICINE LAKE","PIT RIVER","SISKIYOU","-121.613000","41.587000","6,700","Doublehead Ranger District",""
"MDW","MEADOW LAKE","YUBA RIVER","NEVADA","-120.506058","39.405663","7,200","CA Dept of Water Resources/DFM-Hydro-SMN",""
"MDY","MOUNT DYER 1","FEATHER RIVER","LASSEN","-121.036340","40.244360","7,449","Pacific Gas and Electric Company, Rogers Flat",""
"MED","MEDICINE LAKE","PIT RIVER","SISKIYOU","-121.610832","41.591389","6,700","US Bureau of Reclamation",""
"MHG","MOUNT HOUGH","FEATHER RIVER","PLUMAS","-120.879850","40.041267","6,700","CA Dept of Water Resources/Beckwourth",""
"MHP","MAMMOTH PASS (USBR)","OWENS RIVER","MONO","-119.031746","37.612400","9,300","US Bureau of Reclamation",""
"MLF","MILL CREEK FLAT","FEATHER RIVER","PLUMAS","-121.191490","39.939900","5,966","Pacific Gas and Electric Company, Rogers Flat",""
"MLK","MERCED LAKE","MERCED RIVER","MARIPOSA","-119.405720","37.738550","7,300","National Park Service",""
"MMT","MAMMOTH","OWENS RIVER","MONO","-118.992000","37.620000","8,300","City of Los Angeles; Dept of Water and Power",""
"MN1","MINARETS NO 1","OWENS RIVER","MONO","-118.995000","37.650000","8,300",".None Specified",""
"MN2","MINARETS 2","OWENS RIVER","MONO","-119.017000","37.663000","9,000","City of Los Angeles; Dept of Water and Power",""
"MN3","MINARETS 3","OWENS RIVER","MONO","-118.992000","37.653000","8,200",".None Specified",""
"MNA","MINA","EEL RIVER","MENDOCINO","-123.354488","39.979120","1,750","Center for Western Weather and Water Extremes",""
"MNF","MANKER FLAT","SANTA ANA RIVER","LOS ANGELES","-117.627000","34.267000","6,500",".None Specified",""
"MNK","MINERAL KING","KAWEAH RIVER","TULARE","-118.587000","36.437000","8,000","Sequoia and Kings Canyon National Parks",""
"MNP","MONO PASS","SAN JOAQUIN RIVER","FRESNO","-118.773000","37.438000","11,450","Southern California Edison Company, Big Creek",""
"MNT","MONITOR PASS","CARSON RIVER","ALPINE","-119.615000","38.670000","8,350","Natural Resources Conservation Service",""
"MOM","MONACHE MEADOWS","KERN RIVER","TULARE","-118.172000","36.200000","8,000",".None Specified",""
"MPG","MARIPOSA GROVE","MERCED RIVER","MARIPOSA","-119.600000","37.500000","6,400","UC Merced",""
"MPN","MOUNT PINOS","PIRU CREEK","KERN","-119.128000","34.813000","8,600",".None Specified",""
"MRI","MARION MOUNTAIN","SAN JACINTO RIVER","RIVERSIDE","-116.732000","33.797000","6,700",".None Specified",""
"MRL","MARLETTE LAKE","LAKE TAHOE","State of Nevada","-119.905000","39.173000","8,000","Natural Resources Conservation Service",""
"MRM","MORAINE MEADOWS","KINGS RIVER","TULARE","-118.572000","36.720000","8,400",".None Specified",""
"MRO","MOUNT ROSE","TRUCKEE RIVER","State of Nevada","-119.898000","39.353000","9,000","Natural Resources Conservation Service",""
"MSH","MOUNT SHASTA","SACRAMENTO RIVER","SISKIYOU","-122.230000","41.372000","7,900","Mount Shasta Ranger District",""
"MSK","MOUNT ROSE SKI AREA","LAKE TAHOE","State of Nevada","-119.902000","39.326000","8,900","Natural Resources Conservation Service",""
"MSV","MOUNT STOVER","FEATHER RIVER","PLUMAS","-121.291300","40.287670","5,631","Pacific Gas and Electric Company, Rogers Flat",""
"MTM","MITCHELL MEADOW","KINGS RIVER","TULARE","-118.712167","36.736150","10,026","US Army Corps of Engineers",""
"MUM","MUMBO BASIN","TRINITY RIVER","TRINITY","-122.525963","41.197819","5,650","US Bureau of Reclamation",""
"MWL","MEADOW LAKE","YUBA RIVER","NEVADA","-120.508000","39.417000","7,200","Pacific Gas and Electric Company, Auburn",""
"NC1","NUCLEAR 1","OWENS RIVER","INYO","-118.700000","37.373000","7,800",".None Specified",""
"NC2","NUCLEAR 2","OWENS RIVER","INYO","-118.715000","37.370000","9,500",".None Specified",""
"NFS","NORTH FORK SACRAMENTO R","SACRAMENTO RIVER","TRINITY","-122.493000","41.305000","6,900","Mount Shasta Ranger District",""
"NGF","NIAGARA FLAT","STANISLAUS RIVER","TUOLUMNE","-119.912000","38.327000","6,500","Pacific Gas and Electric Company, Angels Camp",""
"NGM","NEW GRACE MEADOW","TUOLUMNE RIVER","TUOLUMNE","-119.617000","38.150000","8,900","Yosemite National Park",""
"NLL","NELLIE LAKE","SAN JOAQUIN RIVER","FRESNO","-119.225000","37.257000","8,000","Southern California Edison Company, Big Creek",""
"NLS","NOEL SPRING","STONY CREEK","GLENN","-122.667000","39.538000","5,100","US Army Corps of Engineers",""
"NMN","NEW MANZANITA LAKE","PIT RIVER","SHASTA","-121.562000","40.533000","5,900","Lassen Volcanic National Park",""
"NRF","NORVELL FLAT","SUSAN RIVER","LASSEN","-121.007000","40.482000","5,700","Eagle Lake Ranger District",""
"NRT","NORTHSTAR","SURPRISE VALLEY","MODOC","-120.192000","41.950000","6,200",".None Specified",""
"NSM","NORTH STAR MEADOW","YUBA RIVER","YUBA","-121.071594","39.605249","4,052","Center for Western Weather and Water Extremes",""
"NTH","NORTH LAKE","OWENS RIVER","INYO","-118.620000","37.228000","9,300","CA Dept of Water Resources",""
"OEM","OLD ENTERPRISE MILL","TULE RIVER","TULARE","-118.678000","36.243000","6,600","CA Dept of Forestry and Fire Protection",""
"OMN","MANZANITA LAKE (OLD)","PIT RIVER","SHASTA","-121.550000","40.533000","6,000",".None Specified",""
"ONN","ONION CREEK","AMERICAN RIVER","PLACER","-120.358000","39.275000","6,100","Central Sierra Snow Lab",""
"OWW","OATS MEADOW","FEATHER RIVER","PLUMAS","-120.971153","39.711728","5,000",".None Specified",""
"PDP","PARADISE PEAK","TRINITY RIVER","TRINITY","-122.748000","40.558000","5,800","Hayfork Ranger District",""
"PDS","PARADISE MEADOW","TUOLUMNE RIVER","TUOLUMNE","-119.671748","38.046117","7,650","CA Dept of Water Resources/DFM-Hydro-SMN",""
"PDT","PODESTA","MOKELUMNE RIVER","EL DORADO","-120.228000","38.605000","7,200","Amador Ranger District",""
"PET","PETERSON FLAT","TRINITY RIVER","TRINITY","-122.527779","41.302219","7,150","US Bureau of Reclamation",""
"PFV","PACIFIC VALLEY","MOKELUMNE RIVER","ALPINE","-119.900000","38.517000","7,500","Pacific Gas and Electric Company, Angels Camp",""
"PGM","PEREGOY MEADOWS","MERCED RIVER","MARIPOSA","-119.625000","37.667000","7,000","Yosemite National Park",""
"PHL","PHILLIPS","AMERICAN RIVER","EL DORADO","-120.072000","38.818000","6,800","CA Dept of Water Resources",""
"PLP","PILOT PEAK (DWR)","FEATHER RIVER","PLUMAS","-120.877777","39.785892","6,800","CA Dept of Water Resources/Operations and Maintenance",""
"PMD","POISON MEADOW","SAN JOAQUIN RIVER","MADERA","-119.518000","37.397000","6,800","Bass Lake Ranger District",""
"PNB","PIONEER BASIN","SAN JOAQUIN RIVER","FRESNO","-118.795000","37.457000","10,400","Southern California Edison Company, Big Creek",""
"PPS","PIUTE PASS","SAN JOAQUIN RIVER","FRESNO","-118.687000","37.240000","11,300","CA Dept of Water Resources",""
"PRK","PARKS CREEK","SHASTA RIVER","SISKIYOU","-122.550000","41.367000","6,700","Mount Shasta Ranger District",""
"PRM","POST CORRAL MEADOW","KINGS RIVER","FRESNO","-118.895000","37.122000","8,200","Pacific Gas and Electric Company, Auberry",""
"PSC","PASCOES","KERN RIVER","TULARE","-118.357617","35.961533","9,120","US Army Corps of Engineers",""
"PSM","PLASKETT MEADOWS","EEL RIVER","GLENN","-122.850000","39.725000","6,000","US Army Corps of Engineers",""
"PSN","POISON FLAT","CARSON RIVER","ALPINE","-119.631000","38.501000","7,900","Natural Resources Conservation Service",""
"PSR","POISON RIDGE","SAN JOAQUIN RIVER","MADERA","-119.520813","37.402821","6,900","US Bureau of Reclamation",""
"PTM","PANTHER MEADOW","KAWEAH RIVER","TULARE","-118.715874","36.586807","8,600","CA Dept of Water Resources/DFM-Hydro-SMN",""
"QKA","QUAKING ASPEN","TULE RIVER","TULARE","-118.545000","36.122000","7,000","Tule River Ranger District",""
"QRS","QUINN RANGER STATION","KERN RIVER","TULARE","-118.573000","36.328000","8,350","Sequoia and Kings Canyon National Parks",""
"QUA","QUAKING ASPEN","TULE RIVER","TULARE","-118.539993","36.117508","7,200","CA Dept of Water Resources/DFM-Hydro-SMN",""
"RBV","ROBBS VALLEY","AMERICAN RIVER","EL DORADO","-120.380000","38.922000","5,600","Pacific Ranger District",""
"RC1","ROCK CREEK 1","OWENS RIVER","MONO","-118.717000","37.492000","8,700","City of Los Angeles; Dept of Water and Power",""
"RC2","ROCK CREEK 2","OWENS RIVER","MONO","-118.717000","37.473000","9,050","City of Los Angeles; Dept of Water and Power",""
"RC3","ROCK CREEK 3","OWENS RIVER","INYO","-118.742000","37.450000","10,000","City of Los Angeles; Dept of Water and Power",""
"RCC","ROBINSON COW CAMP","YUBA RIVER","SIERRA","-120.679871","39.621864","6,480","CA Dept of Water Resources/DFM-Hydro-SMN",""
"RCH","RICHARDSONS 2","LAKE TAHOE","EL DORADO","-120.050000","38.917000","6,500","Truckee River Basin Water Committee, Reno",""
"RCK","ROCK CREEK LAKES","OWENS RIVER","INYO","-118.735023","37.457275","9,700","CA Dept of Water Resources/DFM-Hydro-SMN",""
"RCR","ROCK CREEK","KERN RIVER","TULARE","-118.333000","36.497000","9,600","CA Dept of Water Resources",""
"RCW","ROBINSON COW CAMP SNOW COURSE","YUBA RIVER","SIERRA","-120.681000","39.621900","6,480","Yuba Water Agency",""
"RDC","ROUND CORRAL","KINGS RIVER","FRESNO","-118.902000","36.993000","9,000","Pacific Gas and Electric Company, Auberry",""
"RDM","RED MOUNTAIN","YUBA RIVER","NEVADA","-120.508000","39.343000","7,200","Pacific Gas and Electric Company, Auburn",""
"REL","LOWER RELIEF VALLEY","STANISLAUS RIVER","TUOLUMNE","-119.762917","38.242917","8,100","CA Dept of Water Resources/DFM-Hydro-SMN",""
"RFM","RAFFERTY MEADOWS","TUOLUMNE RIVER","TUOLUMNE","-119.325000","37.837000","9,400","Yosemite National Park",""
"RGT","RIDGE TRAIL","KINGS RIVER","FRESNO","-118.947800","36.751300","7,500","Sequoia and Kings Canyon National Parks",""
"RLD","RELIEF DAM","STANISLAUS RIVER","TUOLUMNE","-119.730000","38.280000","7,250","Pacific Gas and Electric Company, Angels Camp",""
"RMD","ROUND MEADOW","KERN RIVER","TULARE","-118.360000","35.965000","9,000","Kern River Ranger District",""
"RMM","RAMSHAW MEADOWS","KERN RIVER","TULARE","-118.269018","36.352365","8,700","CA Dept of Water Resources",""
"RMR","ROSE MARIE","SAN JOAQUIN RIVER","FRESNO","-118.872000","37.320000","10,000","Southern California Edison Company, Big Creek",""
"RP1","RUBICON PEAK 1","LAKE TAHOE","EL DORADO","-120.142000","38.992000","8,100","Truckee River Basin Water Committee, Reno",""
"RP2","RUBICON PEAK 2","LAKE TAHOE","EL DORADO","-120.140000","39.001000","7,500","Natural Resources Conservation Service",""
"RP3","RUBICON PEAK 3","LAKE TAHOE","EL DORADO","-120.133000","39.008000","6,700",".None Specified",""
"RRM","RED ROCK MOUNTAIN","TRINITY RIVER","TRINITY","-122.886627","41.023621","6,700","US Bureau of Reclamation",""
"RTT","RATTLESNAKE CREEK BA","KINGS RIVER","FRESNO","-118.720000","36.982000","9,900","Pacific Gas and Electric Company, Auberry",""
"RVN","RESERVATION CREEK","SURPRISE VALLEY","MODOC","-120.202000","41.875000","5,900",".None Specified",""
"RWL","ROWLAND CREEK","FEATHER RIVER","PLUMAS","-120.293000","40.013000","6,700","CA Dept of Water Resources/Beckwourth",""
"RWM","ROWELL MEADOW","KINGS RIVER","TULARE","-118.737000","36.717000","8,850","Kings River Water Association",""
"SA2","SACHSE SPRINGS 2","TUOLUMNE RIVER","TUOLUMNE","-119.837000","38.085000","7,900","Summit Ranger District",""
"SAS","SACHSE SPRINGS","TUOLUMNE RIVER","TUOLUMNE","-119.837000","38.085000","7,900","Summit Ranger District",""
"SBL","STRAWBERRY LAKE","STANISLAUS RIVER","TUOLUMNE","-119.997000","38.187000","5,700",".None Specified",""
"SCE","SCENIC MEADOW","KINGS RIVER","TULARE","-118.597000","36.685000","9,650","Kings River Water Association",""
"SCF","SODA CREEK FLAT","STANISLAUS RIVER","TUOLUMNE","-119.678000","38.270000","7,800","Pacific Gas and Electric Company, Angels Camp",""
"SCT","SCOTT MOUNTAIN","SCOTT RIVER","SISKIYOU","-122.719482","41.272202","5,900","US Bureau of Reclamation",""
"SDF","SAND FLAT","SACRAMENTO RIVER","SISKIYOU","-122.246529","41.350239","6,750","US Bureau of Reclamation",""
"SDL","SADDLEBAG LAKE","MONO LAKE","MONO","-119.267000","37.957000","9,750","Southern California Edison Company, Bishop",""
"SDM","SANDY MEADOWS","KERN RIVER","TULARE","-118.367000","36.572000","10,650","CA Dept of Water Resources",""
"SDS","SODA SPRINGS","YUBA RIVER","NEVADA","-120.383000","39.317000","6,750",".None Specified",""
"SDW","SUMMIT MEADOW","WALKER RIVER","MONO","-119.535600","38.397500","9,313","Natural Resources Conservation Service",""
"SFK","SOUTH FORK","OWENS RIVER","INYO","-118.570000","37.205000","8,850",".None Specified",""
"SFM","SOUTH FORK MEADOW","SANTA ANA RIVER","SAN BERNARDINO","-116.842000","34.132000","8,300",".None Specified",""
"SFT","SAND FLAT (COURSE)","SACRAMENTO RIVER","SISKIYOU","-122.247000","41.353000","6,800","Mount Shasta Ranger District",""
"SGR","SUGARLOAF RIDGE","SANTA ANA RIVER","SAN BERNARDINO","-116.798000","34.207000","9,650",".None Specified",""
"SHM","SHIMMY LAKE","TRINITY RIVER","TRINITY","-122.801598","41.005299","6,400","US Bureau of Reclamation",""
"SHN","SAGE HEN CREEK (SNOW COURSE)","TRUCKEE RIVER","NEVADA","-120.233000","39.375000","6,500",".None Specified",""
"SHW","SAPPS HOLLOW","STANISLAUS RIVER","TUOLUMNE","-120.028000","38.412000","6,950","Calaveras Ranger District",""
"SIB","SIBERIAN PASS","KERN RIVER","TULARE","-118.267000","36.473000","10,900","CA Dept of Water Resources",""
"SIL","SILVER LAKE","AMERICAN RIVER","EL DORADO","-120.118195","38.679604","7,100","US Bureau of Reclamation",""
"SLI","SLIDE CANYON","TUOLUMNE RIVER","TUOLUMNE","-119.431881","38.091234","9,200","CA Dept of Water Resources/DFM-Hydro-SMN",""
"SLK","SOUTH LAKE","OWENS RIVER","INYO","-118.562660","37.175903","9,600","CA Dept of Water Resources/DFM-Hydro-SMN",""
"SLL","SOUTH LOON LAKE","AMERICAN RIVER","EL DORADO","-120.320000","38.983000","6,400",".None Specified",""
"SLM","STANISLAUS MEADOW","STANISLAUS RIVER","ALPINE","-119.937300","38.505500","7,750","US Bureau of Reclamation",""
"SLT","SLATE CREEK","SACRAMENTO RIVER","SHASTA","-122.480103","41.043980","5,700","US Bureau of Reclamation",""
"SMD","STATUM MEADOW","KINGS RIVER","FRESNO","-118.913000","36.943000","8,300","Pacific Gas and Electric Company, Auberry",""
"SMM","SMITH MEADOWS","TUOLUMNE RIVER","TUOLUMNE","-119.750000","37.917000","6,600",".None Specified",""
"SMO","SAND MEADOW","KINGS RIVER","FRESNO","-118.967000","37.098000","8,050",".None Specified",""
"SMP","SWAMP MEADOW","KINGS RIVER","FRESNO","-119.075000","37.135000","9,000",".None Specified",""
"SMT","SNOW MOUNTAIN","PIT RIVER","SHASTA","-121.783000","40.767000","6,050","Hat Creek Ranger District",""
"SNF","SNOW FLAT","MERCED RIVER","MARIPOSA","-119.497000","37.827000","8,700","Yosemite National Park",""
"SNM","SNOW MOUNTAIN","PIT RIVER","SHASTA","-121.782677","40.778809","5,950","US Bureau of Reclamation",""
"SPD","LAKE SPAULDING","YUBA RIVER","PLACER","-120.642000","39.317000","5,200","Pacific Gas and Electric Company, Auburn",""
"SPF","SPOTTED FAWN","TUOLUMNE RIVER","TUOLUMNE","-119.758000","38.092000","7,800","Summit Ranger District",""
"SPI","SPICERS","STANISLAUS RIVER","TUOLUMNE","-119.993000","38.402000","6,600",".None Specified",""
"SPS","SONORA PASS BRIDGE","WALKER RIVER","MONO","-119.601000","38.318000","8,750","Natural Resources Conservation Service",""
"SPT","SPRATT CREEK","CARSON RIVER","ALPINE","-119.817420","38.666270","6,150","Natural Resources Conservation Service",""
